순서,용어명,내용
76,N치 (N値),"지반의 조사방법으로서 비교적 손쉽게 실시할 수 있는 현지시험의 하나인 표준관입(標準貫入)시험에 의해 구해지는 값으로 이로 인해 토질의 개요를 알 수가 있다. 표준관입시험은 외경 51㎜, 길이 81㎝의 샘플러(Sampler)를 보링용 로드(Rod)의 선단에 부착하고 로드의 상단에 부착한 노킹헤드(Knocking Head)를 중량 63.5㎏, 낙하높이 75㎝의 해머로 타격해서 샘플러를 박아 넣는 시험으로 샘플러를 30㎝ 박아 넣는(관입)데 소요되는 타격회수를 N치라고 한다. 이 N치는 지반이나 지층의 경도를 어느 정도 정확하게 표시하고 있다. 이 N치를 근거로 사질(砂質)지반에서는 허용지지력과 내부마찰각을, 점성토지반에서는 일축압축강도와 점착력을 추정하는 것이 가능하다. 따라서 N치에서 지반강도의 개략치를 알 수가 있다."
77,PCS(Power Conditioning System),"태양광 어레이(Array)로부터 발전된 직류전력을 교류로 변환하는 장치. 직류를 교류전력으로 변환시켜 주는 기본 기능 외에 보호협조, 전력품질 기능 등을 갖는 장치로서 구성 및 용도에 따라 독립형/연계형, 단상/3상, 절연변압기/고주파변압기/무변압기 형태로 구분"
78,PLU (Power Load Unbalance),발전기 출력과 터빈출력을 비교하여 불평형이 될 경우 터빈의 CV(Control Valve)와 IV(Intercept Valve)를 조절하여 평형이 이루어지도록 하는 것이다. 예를들어 두 출력사이가 규정치 이상으로 불평형이 될 경우 터빈의 회전속도가 감소하거나 상승한다. 이런 현상이 일어나기 전에 주 증기(Main Steam) 및 재열 증기(Reheat Steam) 조절밸브를 급속히 조절해서 터빈이 항상 정격속도를 유지하도록 한다.
79,PTC형 집열기(Parabolic trough concentrator),집광형태의 기하학적 구조가 평판형을 포물선모양으로 구부려 놓은 형태인 집열기로 300℃이하의 중온용 집열 시스템에 사용
80,"QR 코드(Quick Response Code,QR code)","흑백 격자 무늬 패턴으로 정보를 나타내는 매트릭스 형식의 이차원 바코드. 한글 문자 1,700자 또는 숫자 8,000자의 정보를 담을 수 있으며 디지털 카메라나 전용 스캐너로 읽어 활용한다. 국제 표준으로 채택되어 무료로 쓸 수 있다."
81,RFID 리더기(Radio frequency identification reader),"태그의 정보를 활용하기 위해 태그와 송수신하거나 태그에서 수집된 정보를 백 엔드 시스템으로 전송하는 장치. 고정형과 이동형이 있으며 고정형은 움직이는 태그를 판독하고 백 엔드 시스템과 유선 네트워크로 연결되어 있고, 이동형 리더는 고정되어 있는 태그를 판독하며 백 엔드와 무선 네트워크로 연결되어 있다."
82,R언어(R-Programming Language),"오픈소스 통계해석용 언어 코딩이 가능한 통계 패키지, Open Source + 무료 소프트웨어의 장점으로 최근 많은 기업,기관에서 R을 사용하고 있습니다."
83,SAMA (Scientific Apparatus Makers Associa- tion),미국에 있었던 이전 산업 협회. Measurement Control & Automation Association(MCAA)로 재결성됨. MCAA는 더 이상 SAMA표준을 지원하거나 쓰지않고 있다.
84,SCADA,"Supervisory Control And Data Acquisi- tion의 약어로 원격감시 제어시스템 또는 감시제어, 데이터 수집시스템이라고도 한다. SCADA 시스템은 발전 송배전시설, 석유화학플랜트, 제철공정시설, 공장자동화시설 등 여러 종류의 원격지 시설장치를 중앙집중식으로 감시제어 하는데 사용된다. 전력분야에서는 발 변전소의 전력설비에 대한 정보를 감시 측정하여 중앙의 급전원에게 실시간으로 제공하며, 급전원의 조작에 의하여 발.변전소 설비를 제어하는데 이용된다. Scada시스템은 중앙에 설치되는 전력거래소 Ems, 지역급전소 제어설비, 급전분소 제어설비와 발 변전소 현장에 설치되는 원격장치(Rtu)로 구성되며, 주요기능은 원격감시, 원격제어, 원격측정, 경보발생, 기록기능 등이 있다."
85,SQL 주입 공격(SQL injection),웹 클라이언트의 반환 메시지를 이용하여 불법 인증 및 정보를 유출하는 공격. 웹 응용 프로그램에 강제로 구조화 조회 언어(SQL) 구문을 삽입하여 내부 데이터베이스(DB) 서버의 데이터를 유출 및 변조하고 관리자 인증을 우회할 수도 있다. 이 공격은 MS SQL 서버뿐만 아니라 모든 관계형 데이터베이스 관리 시스템(RDBMS)에서 가능하다.
86,Selsyn,기계적으로 연결이 곤란한 2개 이상의 회전축을 전기적으로 연결하여 동기운전 각 위치의 전달 등을 행하기 위해 사용되는 회전기의 총칭이다. 셀신은 본래 상품명이므로 최근 싱크로(Synchro)라 부르는 경우가 많다.
87,"Shell 가스 처리 공정(Shell Gas Treatment Section,SGTT)",Shell사의 합성가스를 정제하는 공정으로 습식세정설비 후단의 산성가스 처리 공정을 지칭한다. 태안 IGCC에서는 아래의 공정을 의미함 : U-1800(HCN/COS Hydrolysis & LTGC) : U-1900(Acid Gas Removal Unit) : U-2000(Sulfur Recovery Unit) : U-2100(Sour Water Stripper) : U-2200(Ammonium Sulfate Unit) : U-2300(LP HCN Hydrolysis Unit)
88,"Shell 가스화 공정(Shell Gasification Process (Oil or gas) ,SGP)",석탄이 아닌 Oil 이나 폐가스를 이용하여 합성가스를 만드는 Shell 사의 가스화 공정
89,"Shell 석탄 가스화 공정(Shell Coal Gasification Process ,SCGP)",석탄을 이용하여 합성가스를 생성하는 Shell 사가 보유하고 있는 가스화 공정
90,Steam Cooling,"증기로 노즐을 냉각시키는 방식을 의미한다. 장점으로는 비열이 공기보다 높고, 동점도가 공기보다 낮고 냉각통로의 길이를 줄이고 고온가스와 냉각 공기의 혼합에 의한 손실을 줄일수 있는 장점이 있는 반면, 증기에 의한 산화과정과 작용이 알려져 있지 않고 증기순도에 따른 고온부식 문제가 발생하고 증기분리에 따른 수소손상가능이 있다."
91,"Stereo lithography,STL","3차원 데이터를 표현하는 국제 표준 형식 중 하나로 대부분의 3D 프린터에서 입력 파일로 많이 사용되고 있는데 이 파일의 형식을 창안한 사람은 3D 시스템즈의 공동 설립자 찰스 훌이라고 한다. STL은 입체 물체의 표면 즉, 3차원 형상을 무수히 많은 3각형 면으로 구성하여 표현해 주는 일종의 폴리곤 포멧이기 때문에 삼각형의 크기가 작을수록 고품질의 출력물 표면을 얻을 수 있는 것이다. STL 파일은 곡면을 표현하기가 곤란하지만 3각형의 분할 수를 많이 늘려서 보다 섬세한 삼각형으로 그려내면 거의 곡면과 유사한 형상이 된다."
92,"Structured Query Language,SQL","SQL은 관계형 데이터베이스 관리 시스템(RDBMS)의 데이터를 관리하기 위해 설계된 특수 목적의 프로그래밍 언어이다. 관계형 데이터베이스 관리 시스템에서 자료의 검색과 관리, 데이터베이스 스키마 생성과 수정, 데이터베이스 객체 접근 조정 관리를 위해 고안되었다. SQL은 데이터베이스로부터 정보를 얻거나 갱신하기 위한 표준 대화식 프로그래밍 언어이다. 많은 수의 데이터베이스 관련 프로그램들이 SQL을 표준으로 채택하고 있다. SQL은 데이터베이스를 다룰 수 있는 언어 라고 생각하시면 좋을 것 같습니다. 언어라고 해봤자 SQL은 초보자가 쓰기에는 매우 쉬운 언어입니다. Microsoft office에서 제공되는 Access도 SQL로 데이터베이스 처리가 가능합니다. Access 외에도 MySql, NoSql, MongoDB 여러가지 DB처리 소프트웨어가 있습니다."
93,Sulfer Melter Unit,Shell-Paques 계통에서 만들어진 Sulfur Cake(약 55~65% Sulfur)를 Melting을 통해 순도 99.9% 이상의 Liquid Sulfur로 생산하기 위한 설비
94,Sulfinol-M,합성가스중의 산성가스 성분 제거를 위한 혼합용매로 SHELL사에서 특허 보유. 물리용매(Sulfolane) + 화학용매(MDEA)
95,Sulfolane,합성가스중의 산성가스 성분 제거를 위한 물리용매로 SHELL사에서 특허 보유. Tetrahydrothiophenedioxide
96,TBC,"Thermal Barrier Coating, 블레이드와 베인 등 온도가 높은 영역에서 모재를 보호하기 위한 코팅, 최근 가스터빈의 온도상승으로 인해 LSB에만 사용하던 것이 점차 다른 회전날개에도 사용하는 추세임"
97,"Tire Derived Fuel ,TDF",폐타이어를 사용하여 품질등급 기준에 적합하게 제조한 고형연료 제품
98,"Ton of Refrigeration,RT","단위시간에 냉각하는 냉각열량(kcal/hr)을 나타내며 냉동능력을 나타내는 단위이고, 냉동톤이라고 함. 1RT는 0℃물 1Ton(1,000 kg)을 24시간동안에 0℃의 얼음으로 만들 때 냉각해야할 열량"
99,"Tons per Day,TPD",일일 생산량을 ton 단위로 나타낸 값
100,Tray,"탑 내부에 설치되어 기체  액체 접촉이 잘 일어나도록 하는 장치로 형태에 따라 Sieve, Bubble-cap, Valve Tray 등등으로 분류되며, 액상의 흐름에 따라 one-pass, two-pass, three-pass 등으로도 나눌 수 있다. 최근에 개발되어 성능을 향상시킨 Tray는 특허 사용료를 지불해야지만 사용할 수 있다. Tray 성능은 탑의 높이에 직접적인 영향을 주어 설비의 설계 및 제작, 설치 등에 영향을 끼치게 된다."
101,"Turndown Design Case,TDC",설계탄을 기준으로 가스화기 50% 감발 운전시를 지칭함
102,UES,무정전전원장치(UPS)와 전력저장장치(ESS)의 결합으로 인하여 이 둘의 기능을 합친 하이브리드 시스템
103,UML 다이어그램(UML diagram),"통합 모델링 언어(UML)를 사용하여 시스템 상호 작용, 업무 흐름, 객체 간의 메시지 전달, 시스템의 구조, 컴포넌트 관계 등을 그린 도면. 이에는 요구 분석 과정에서 시스템과 외부와의 상호 작용을 묘사하는 Use Case 다이어그램, 업무의 흐름을 모델링하거나 객체의 생명 주기를 표현하는 Activity 다이어그램, 객체 간의 메시지 전달을 시간적 흐름에서 분석하는 Sequence 다이어그램, 객체와 객체가 주고받는 메시지 중심의 작성 동적 다이어그램인 Collaboration 다이어그램, 시스템의 구조적인 모습을 그리는 Class 다이어그램, 소프트웨어 구조가 그리는 Component 다이어그램, 기업 환경의 구성과 컴포넌트들 간의 관계를 그린 Deployment 다이어그램 등이 있다."
104,"UN지속가능개발위원회(UN Commission on Sustainable Development,UNCSD)",유엔 경제사회이사회 산하에 설치된 특별위원회로서 의제21의 추진 사항 및 공적개발원조(ODA) 등에 대한 감시와 평가를 주된 업무로 하고 있음.
105,"U자관 급수가열기 (U字管 給水加熱器, U-Tube Feedwater Heater)",가열관을 U자 모양으로 굽혀진 관끝을 판에 고정한 급수가열기이다.
106,"Vehicle to Grid,V2G",전기 차 배터리에 충전된 전기에너지를 필요한 경우 전력계통으로 재공급하거나 비상 시 자체전원으로 활용하는 시스템
107,X이론/Y이론 (X-theory/Y-theory),"미국의 맥그리거(D.Mcgregor)가「기업의 인간적 측면」에서 제창한 대립관계에 있는 인간관이다. 어느 쪽의 인간관계에 입각하더라도 그것에 걸 맞는 별개의 관리스타일이 요구된다고 한다. 즉 X이론은 성악설의 입장에서 인간은 본래 일하기 싫어하고, 경제적 동기에 의해서만 일을 하기 때문에 권한을 가지고 명령, 처벌, 해고하는 반면에 업적에는 승급, 승진시키는 지배와 통제를 수단으로 하는 관리방식이 적합하다. 한편 Y이론은 성선설의 입장에서 인간을 본래부터 일을 싫어하는 것이 아니라 인간이 가진 능력을 이끌어내는 경영자의 수완이 결여된 때문이며, 자주성을 중시하고 자주적인 목표설정과 자기관리에 의한 의욕중시의 관리방법이 적합하다. 그는 X이론으로부터 Y이론으로의 전환을 주장하고, 위의 제 욕구를 만족시키는 상태를 조성함으로써 종업원의 목표와 기업목표를 통합할 수 있다고 하였다. Y이론에 따르면 안전규칙으로 지나치게 속박할 것이 아니라 오히려 작업자자신이 문제점을 발굴하고 그에 대한 해결책을 지도하는 것이 지향해야 할 안전관리의 방향이라 할 것이다."
108,ppb (Parts per billion),"10억분의 1(parts per billion)을 나타내는 단위이다. ppm의 1,000분의 1을 의미한다. 즉, 1ppm=1,000ppb 미소농도의 단위로 쓰인다."
109,ppm (Parts per million),"100만분의 1(parts per million)을 나타내는 농도의 단위이다. 물오염의 경우 lℓ의 물속에 오염물질이 1㎎이 존재할 경우 농도가 1ppm이 된다. 또한 대기오염에서는 1,000ℓ의 대기중 오염물질이 1㏄ 존재할 때 오염농도가 1ppm이 된다."
110,래그 (Wet Leg),공정이나 다른 적당한 유체로 채워진 차압레벨전송기의 저압부분을 말한다.
111,"치계통(Quench System,QS)",가스화기에서 생성된 합성가스의 온도는 약 1550℃로 합성가스 중 포함된 Ash가 가스화기 후단설비에 부착되는 것을 방지하기 위하여 합성가스를 냉각시키는 계통으로 냉각열원은 습식 세정설비 후단의 저온 합성가스를 재순환시켜 합성가스를 냉각시킴.
